soil_type,nitrogen,phosphorus,potassium,temperature,humidity,rainfall,ph,season,crop_label
Clay,51,39,67,23.87,89.88,254.41,6.5,Kharif,Rice
Black,89,41,35,27.13,89.85,96.51,7.21,Zaid,Wheat
Clay,80,21,26,27.93,81.85,216.7,6.53,Kharif,Soybean
Red,68,24,40,31.72,88.75,133.94,6.2,Rabi,Sugarcane
Sandy,49,46,45,33.89,87.11,107.13,7.12,Zaid,Groundnut
Loamy,57,46,47,18.78,51.85,284.21,7.05,Zaid,Wheat
Black,69,20,24,31.34,64.34,137.03,5.6,Rabi,Groundnut
Sandy,50,44,36,18.09,70.39,122.74,5.8,Rabi,Cotton
Loamy,51,65,52,23.0,70.11,149.44,6.49,Rabi,Soybean
Sandy,85,67,40,28.34,58.86,283.41,5.9,Kharif,Rice
Black,50,29,63,25.99,80.35,218.99,6.5,Zaid,Cotton
Red,51,78,26,25.55,45.14,167.26,5.51,Zaid,Groundnut
Loamy,45,53,60,27.76,54.03,126.51,5.74,Kharif,Cotton
Clay,56,73,58,26.39,71.13,258.76,6.11,Rabi,Rice
Black,50,71,30,33.08,64.28,153.28,5.76,Zaid,Soybean
Clay,61,79,27,30.7,50.85,171.71,6.21,Kharif,Soybean
Loamy,87,23,51,18.56,58.74,184.16,6.47,Kharif,Wheat
Clay,52,52,27,20.48,80.83,233.11,6.33,Zaid,Sugarcane
Loamy,72,31,69,21.89,79.64,249.94,6.92,Kharif,Soybean
Clay,98,74,56,30.26,67.27,139.08,7.27,Rabi,Soybean
Black,74,39,57,28.29,81.17,168.74,7.19,Rabi,Soybean
Sandy,74,26,61,25.24,59.22,297.32,7.41,Rabi,Wheat
Sandy,54,69,25,24.04,82.38,102.28,6.44,Kharif,Sugarcane
Loamy,86,77,45,20.07,53.03,150.23,7.32,Zaid,Wheat
Red,64,49,68,32.12,52.57,271.32,6.44,Kharif,Groundnut
Clay,92,21,50,29.01,54.56,73.37,6.16,Kharif,Soybean
Black,59,70,29,24.14,78.32,165.62,6.64,Zaid,Groundnut
Red,99,53,44,19.03,52.7,199.78,6.33,Zaid,Maize
Red,95,55,63,19.1,88.66,275.02,5.66,Kharif,Groundnut
Red,99,23,41,27.06,66.56,71.59,7.42,Kharif,Maize
Clay,46,75,34,32.43,58.9,251.51,5.72,Zaid,Rice
Red,58,67,33,29.97,73.63,111.71,5.64,Zaid,Cotton
Sandy,89,37,46,28.06,47.44,163.39,6.87,Kharif,Sugarcane
Sandy,80,28,31,22.02,46.26,89.7,5.79,Rabi,Groundnut
Black,81,77,58,19.17,46.32,156.77,7.17,Rabi,Wheat
Black,82,43,52,32.15,84.78,195.37,6.31,Kharif,Maize
Red,86,49,55,22.22,50.16,144.07,6.52,Rabi,Rice
Loamy,81,57,23,20.15,86.37,114.83,5.53,Rabi,Groundnut
Loamy,82,22,43,25.6,71.33,245.47,7.33,Kharif,Wheat
Red,70,74,63,22.59,59.72,192.84,5.97,Rabi,Cotton
Clay,88,44,35,34.11,51.11,85.97,7.24,Rabi,Sugarcane
Black,96,42,57,19.46,66.85,276.87,6.63,Zaid,Rice
Black,79,76,21,28.29,79.71,96.44,6.2,Rabi,Groundnut
Clay,52,49,62,22.82,89.53,288.74,5.56,Kharif,Groundnut
Red,64,35,61,32.73,44.48,294.6,6.08,Kharif,Wheat
Sandy,51,31,41,19.22,50.99,214.29,6.05,Rabi,Rice
Sandy,77,71,44,31.78,73.68,287.84,6.32,Zaid,Wheat
Loamy,64,32,40,27.59,77.96,248.83,6.08,Zaid,Cotton
Sandy,87,65,26,20.65,78.88,197.07,5.76,Zaid,Maize
Black,80,61,39,32.98,86.73,221.23,5.55,Kharif,Sugarcane
Black,63,62,48,29.58,42.64,212.82,6.48,Kharif,Cotton
Clay,86,31,36,25.45,81.01,58.31,5.58,Rabi,Wheat
Loamy,97,24,62,24.31,71.63,164.43,6.18,Zaid,Cotton
Red,82,69,57,18.02,65.17,279.67,6.88,Kharif,Rice
Red,93,28,57,27.53,46.85,67.63,7.13,Kharif,Groundnut
Black,65,27,47,26.57,48.57,158.53,6.9,Zaid,Sugarcane
Loamy,41,49,28,23.28,66.17,142.48,6.11,Zaid,Rice
Clay,43,79,58,25.19,72.07,250.39,6.43,Zaid,Soybean
Clay,60,36,37,22.79,79.75,64.41,6.87,Zaid,Sugarcane
Clay,56,51,43,31.78,65.08,218.15,6.6,Zaid,Wheat
Loamy,96,74,65,33.16,55.73,228.36,5.95,Rabi,Maize
Sandy,80,50,30,32.5,89.01,119.26,6.6,Kharif,Maize
Loamy,50,77,42,28.68,52.9,157.32,6.78,Rabi,Maize
Black,80,61,60,30.33,69.93,295.01,5.54,Rabi,Groundnut
Clay,95,52,24,23.47,61.29,280.36,6.62,Rabi,Sugarcane
Red,88,60,69,24.46,88.48,73.84,6.76,Rabi,Sugarcane
Loamy,44,64,45,19.58,65.14,110.89,7.09,Zaid,Sugarcane
Loamy,50,46,37,20.31,68.16,57.05,6.56,Rabi,Soybean
Clay,45,75,54,25.78,78.96,139.54,6.24,Zaid,Rice
Sandy,64,25,48,23.64,54.67,187.43,6.73,Zaid,Groundnut
Sandy,55,32,32,20.0,69.71,59.15,5.88,Zaid,Sugarcane
Sandy,88,57,41,21.69,84.46,208.19,5.72,Kharif,Wheat
Clay,92,46,46,30.29,59.74,279.88,5.78,Kharif,Maize
Clay,82,79,22,24.17,70.15,287.18,6.24,Zaid,Groundnut
Clay,45,43,20,32.35,67.98,174.7,6.33,Rabi,Wheat
Clay,54,40,65,22.08,54.56,237.85,7.35,Rabi,Groundnut
Red,73,63,48,26.24,82.6,197.16,5.75,Kharif,Maize
Loamy,60,21,55,27.48,69.81,236.85,6.41,Rabi,Wheat
Clay,76,75,49,18.86,72.46,54.13,6.08,Rabi,Maize
Red,99,48,46,24.69,76.92,209.86,7.12,Kharif,Groundnut
Black,93,68,29,28.19,47.38,65.5,5.78,Zaid,Rice
Loamy,67,39,56,23.69,79.22,124.81,5.75,Zaid,Soybean
Loamy,42,59,52,26.2,42.69,115.1,5.83,Kharif,Wheat
Sandy,97,34,26,31.45,61.87,71.21,6.35,Zaid,Soybean
Loamy,47,37,47,19.05,44.15,142.04,6.74,Rabi,Sugarcane
Loamy,75,45,22,18.89,88.62,94.9,6.03,Kharif,Wheat
Clay,83,64,21,21.62,44.51,259.39,5.64,Rabi,Sugarcane
Loamy,47,49,31,30.1,50.55,53.39,7.17,Rabi,Sugarcane
Red,91,60,24,26.77,80.37,272.17,5.72,Zaid,Sugarcane
Red,67,71,62,19.29,72.23,170.85,5.79,Kharif,Groundnut
Loamy,46,79,31,28.99,51.57,268.53,7.42,Rabi,Rice
Red,41,20,44,29.07,88.12,192.56,6.73,Kharif,Wheat
Loamy,46,21,35,21.36,64.17,56.78,5.99,Zaid,Rice
Sandy,70,60,35,18.27,85.31,218.49,7.14,Kharif,Cotton
Sandy,64,45,25,25.62,53.44,54.24,6.4,Zaid,Wheat
Sandy,63,69,33,24.87,42.16,299.22,6.25,Zaid,Maize
Loamy,91,70,21,21.21,62.83,110.18,6.99,Zaid,Rice
Sandy,87,32,27,23.43,73.46,290.05,5.89,Zaid,Wheat
Clay,41,52,54,32.24,85.03,292.07,5.9,Zaid,Rice
Clay,53,74,52,26.15,48.24,73.43,7.23,Kharif,Maize
Red,66,69,57,20.52,41.92,125.05,6.39,Zaid,Rice
Black,93,69,21,29.04,40.1,143.02,5.85,Kharif,Sugarcane
Clay,72,31,39,19.07,83.82,98.88,6.71,Rabi,Rice
Sandy,99,66,58,23.11,50.01,286.87,7.0,Zaid,Maize
Black,74,59,57,29.09,61.58,256.58,7.09,Kharif,Cotton
Red,81,40,50,19.97,60.98,183.65,7.4,Kharif,Cotton
Sandy,73,50,69,24.47,40.41,226.67,6.12,Zaid,Soybean
Loamy,43,20,51,33.45,79.89,178.42,5.58,Kharif,Maize
Red,70,53,23,33.73,62.25,115.61,6.19,Rabi,Wheat
Black,48,28,42,32.52,77.6,139.33,7.33,Rabi,Wheat
Loamy,51,55,24,25.95,42.57,153.08,6.97,Zaid,Soybean
Sandy,51,28,40,20.41,82.71,277.62,6.69,Kharif,Soybean
Black,93,64,31,24.54,68.51,178.16,6.36,Kharif,Soybean
Black,89,38,40,26.65,71.76,290.58,6.37,Rabi,Wheat
Black,40,36,56,21.26,82.65,163.47,7.39,Kharif,Sugarcane
Clay,49,34,37,34.44,47.12,78.44,7.06,Rabi,Sugarcane
Black,74,37,60,19.55,88.75,228.53,6.06,Kharif,Groundnut
Loamy,48,30,62,31.66,76.06,299.01,7.21,Rabi,Maize
Loamy,75,45,21,33.27,75.68,181.19,6.4,Zaid,Groundnut
Sandy,57,62,69,24.91,49.08,94.99,7.36,Rabi,Cotton
Sandy,71,73,30,27.47,55.48,84.43,5.65,Kharif,Maize
Red,45,21,46,32.87,62.57,257.57,6.23,Zaid,Rice
Clay,71,54,41,33.25,42.4,273.45,6.27,Rabi,Soybean
Loamy,81,46,51,23.64,49.51,238.57,6.08,Kharif,Maize
Loamy,42,71,68,28.56,76.33,103.97,6.83,Kharif,Cotton
Red,65,25,50,27.35,76.69,228.22,5.54,Rabi,Groundnut
Clay,86,52,25,33.2,77.37,101.76,5.82,Kharif,Groundnut
Clay,43,47,44,18.07,52.48,136.06,7.14,Kharif,Wheat
Sandy,51,78,58,31.37,65.49,60.94,7.18,Zaid,Rice
Black,68,57,52,25.27,67.95,52.21,5.94,Zaid,Soybean
Clay,47,21,55,31.99,88.56,52.59,7.3,Zaid,Soybean
Red,85,60,42,34.91,52.96,149.36,5.54,Kharif,Groundnut
Red,82,68,32,33.34,67.02,123.67,7.26,Kharif,Cotton
Black,43,72,40,27.9,46.22,50.85,7.4,Rabi,Wheat
Loamy,69,26,67,21.33,71.28,85.01,6.26,Zaid,Sugarcane
Sandy,72,66,59,21.06,59.47,219.03,5.92,Rabi,Groundnut
Loamy,62,33,49,24.75,74.2,124.94,6.31,Rabi,Rice
Loamy,91,32,25,22.29,48.68,299.34,6.01,Kharif,Sugarcane
Sandy,64,30,44,24.82,87.66,151.36,6.45,Zaid,Sugarcane
Clay,51,75,60,24.56,78.44,256.13,7.22,Rabi,Wheat
Red,79,29,48,24.36,66.37,256.66,6.97,Kharif,Rice
Loamy,84,43,39,23.02,77.5,253.37,7.01,Zaid,Groundnut
Clay,59,26,44,26.47,78.57,140.91,5.89,Kharif,Maize
Clay,54,61,31,19.37,67.59,131.3,5.62,Kharif,Soybean
Clay,50,72,27,18.85,60.85,76.56,5.91,Zaid,Groundnut
Loamy,59,23,53,21.76,64.55,67.52,7.31,Kharif,Maize
Sandy,80,57,68,19.45,41.48,265.21,5.88,Zaid,Cotton
Sandy,88,67,32,33.32,84.23,100.49,7.09,Zaid,Groundnut
Red,45,49,61,21.87,58.53,79.7,5.52,Zaid,Sugarcane
Sandy,61,31,25,24.39,46.84,142.16,6.28,Zaid,Groundnut
Red,60,68,35,27.47,52.55,144.62,6.43,Rabi,Sugarcane
Red,42,32,25,18.13,76.11,299.13,6.54,Kharif,Cotton
Red,67,57,31,21.49,56.57,271.04,5.57,Kharif,Maize
Sandy,43,35,35,22.57,68.53,243.83,7.36,Rabi,Rice
Red,57,75,41,23.16,60.42,128.0,6.97,Rabi,Groundnut
Red,96,70,27,23.05,67.97,80.98,5.67,Zaid,Rice
Clay,64,71,37,30.35,67.05,219.37,7.46,Zaid,Sugarcane
Black,52,61,68,20.67,42.72,50.44,6.37,Rabi,Maize
Clay,47,51,33,30.12,84.11,170.64,6.93,Kharif,Sugarcane
Red,51,26,23,28.68,57.52,90.25,7.0,Zaid,Groundnut
Loamy,42,37,41,22.74,53.77,256.21,6.52,Rabi,Sugarcane
Black,96,40,55,31.79,65.49,94.05,6.77,Rabi,Soybean
Clay,57,53,45,19.18,87.01,154.42,6.78,Zaid,Rice
Red,81,22,52,34.72,42.66,82.71,6.49,Zaid,Soybean
Loamy,42,38,32,31.63,69.42,51.22,6.78,Rabi,Sugarcane
Red,43,23,49,31.49,74.35,160.85,6.9,Zaid,Groundnut
Sandy,88,41,56,30.24,71.08,124.42,7.46,Zaid,Rice
Clay,82,40,30,27.7,89.4,133.29,6.37,Rabi,Groundnut
Red,58,37,60,22.69,84.15,179.05,5.57,Kharif,Maize
Red,73,73,23,34.74,56.06,278.08,6.47,Rabi,Sugarcane
Red,97,22,28,29.58,79.62,210.17,6.01,Kharif,Groundnut
Black,58,69,50,33.74,77.57,222.1,6.78,Kharif,Soybean
Sandy,71,78,28,33.62,62.48,104.47,6.63,Rabi,Groundnut
Red,71,68,33,21.7,51.22,136.5,6.64,Rabi,Sugarcane
Sandy,42,28,54,26.79,58.25,119.59,7.08,Zaid,Sugarcane
Clay,89,73,68,29.04,50.92,220.17,7.24,Kharif,Sugarcane
Black,65,35,54,30.07,55.53,80.37,6.37,Rabi,Sugarcane
Loamy,72,38,36,30.57,74.09,248.57,6.87,Rabi,Maize
Clay,93,75,67,26.07,80.88,262.63,6.32,Rabi,Maize
Black,63,45,64,23.63,70.37,116.66,6.61,Rabi,Soybean
Red,91,55,37,19.24,80.92,182.8,6.01,Rabi,Sugarcane
Clay,58,45,30,18.9,64.69,141.06,5.69,Zaid,Cotton
Black,77,72,56,27.44,85.81,129.12,5.64,Rabi,Cotton
Clay,68,43,54,26.52,65.96,234.61,5.65,Kharif,Groundnut
Red,63,51,46,28.31,61.11,61.9,6.05,Rabi,Soybean
Sandy,93,33,40,23.65,44.22,244.09,6.13,Kharif,Sugarcane
Black,69,53,36,30.88,49.16,262.57,6.69,Zaid,Sugarcane
Black,52,35,51,20.52,41.74,235.67,6.03,Zaid,Rice
Black,60,23,29,23.41,78.95,179.7,5.86,Kharif,Wheat
Sandy,60,27,57,20.72,49.99,198.13,6.13,Kharif,Sugarcane
Red,82,69,34,27.26,69.97,299.04,6.96,Kharif,Wheat
Black,42,49,46,24.32,70.8,286.43,7.25,Rabi,Cotton
Black,41,54,58,31.2,69.67,62.96,5.59,Zaid,Soybean
Red,52,47,56,19.58,70.8,277.38,6.66,Zaid,Cotton
Red,59,38,45,20.19,82.05,291.63,6.38,Kharif,Rice
Red,89,38,33,24.2,58.68,261.6,6.65,Rabi,Rice
Loamy,49,30,41,30.95,72.04,140.04,5.75,Kharif,Maize
Clay,85,36,44,29.14,41.18,153.08,7.21,Rabi,Groundnut
Black,63,54,69,25.86,85.54,52.69,6.02,Zaid,Cotton
Red,46,74,31,20.77,48.22,114.91,5.56,Zaid,Soybean
Black,65,68,43,26.93,73.72,156.09,6.57,Zaid,Sugarcane
Clay,78,36,44,25.71,57.65,190.71,6.64,Rabi,Groundnut
Black,52,20,34,27.18,46.71,103.18,7.1,Zaid,Rice
Loamy,71,40,35,24.18,58.42,155.25,6.46,Rabi,Groundnut
Loamy,78,36,43,20.26,81.34,277.04,5.61,Rabi,Rice
Red,51,55,59,23.88,65.26,133.66,6.86,Zaid,Cotton
Black,77,53,59,22.73,66.63,274.48,6.58,Kharif,Sugarcane
Red,85,45,33,20.04,47.4,136.16,6.53,Kharif,Soybean
Sandy,84,65,57,18.6,77.4,170.86,6.68,Kharif,Rice
Sandy,97,48,32,26.03,55.71,279.48,6.63,Kharif,Groundnut
Clay,63,66,43,22.27,42.34,77.17,6.77,Rabi,Cotton
Red,94,60,61,24.4,67.0,169.22,5.62,Zaid,Wheat
Sandy,56,55,56,22.04,53.9,85.3,6.41,Rabi,Groundnut
Loamy,60,35,64,24.78,44.58,110.42,6.31,Rabi,Wheat
Clay,50,78,57,20.22,75.2,76.67,6.58,Zaid,Cotton
Loamy,52,73,64,27.96,74.59,280.57,6.39,Rabi,Sugarcane
Loamy,96,52,26,34.98,44.25,242.94,7.36,Rabi,Sugarcane
Clay,42,20,21,18.56,45.88,297.3,6.95,Zaid,Cotton
Sandy,76,79,68,29.41,58.35,111.71,7.47,Rabi,Soybean
Sandy,58,79,53,22.84,55.8,229.98,6.24,Zaid,Maize
Clay,87,46,63,19.69,50.67,81.75,6.89,Kharif,Sugarcane
Clay,82,50,22,24.87,67.54,222.04,7.25,Kharif,Wheat
Clay,80,37,45,27.89,68.69,288.74,7.15,Zaid,Soybean
Sandy,60,59,60,22.02,70.58,174.92,7.48,Rabi,Groundnut
Loamy,51,39,64,28.59,78.54,247.5,6.8,Rabi,Rice
Loamy,52,65,39,26.49,57.98,120.93,5.67,Rabi,Cotton
Sandy,93,63,30,29.26,49.14,207.8,5.75,Kharif,Sugarcane
Clay,72,50,40,26.95,88.81,81.97,5.74,Kharif,Rice
Red,62,28,37,27.31,85.5,235.47,5.95,Kharif,Groundnut
Clay,91,54,29,25.15,89.23,223.36,7.45,Zaid,Cotton
Black,64,60,28,33.03,48.72,287.94,6.11,Rabi,Rice
Black,46,55,24,27.41,66.46,236.57,5.58,Kharif,Sugarcane
Black,76,51,41,20.3,79.78,251.19,6.45,Rabi,Maize
Clay,59,78,54,26.71,62.82,112.63,7.34,Kharif,Groundnut
Clay,77,48,30,27.49,87.25,140.62,5.61,Rabi,Wheat
Clay,66,24,56,19.82,87.68,168.73,5.66,Rabi,Groundnut
Red,99,35,50,27.1,82.92,120.07,5.88,Zaid,Rice
Sandy,89,46,52,34.06,55.12,164.29,7.38,Rabi,Sugarcane
Black,83,50,68,24.85,51.0,228.59,6.97,Zaid,Cotton
Red,82,64,64,25.49,58.38,252.88,6.21,Kharif,Groundnut
Sandy,74,49,64,25.07,61.53,262.69,5.85,Kharif,Wheat
Loamy,99,76,51,34.74,45.12,274.13,5.99,Kharif,Groundnut
Black,86,32,37,26.24,46.92,221.77,6.89,Zaid,Wheat
Red,86,36,24,24.38,83.77,128.82,5.83,Kharif,Maize
Clay,98,61,60,28.49,41.84,127.45,5.67,Rabi,Wheat
Black,86,49,23,19.99,61.95,200.25,6.0,Rabi,Maize
Loamy,62,60,33,21.4,59.7,127.33,7.31,Zaid,Sugarcane
Red,77,63,50,18.66,47.71,184.99,6.14,Kharif,Sugarcane
Red,41,35,25,23.99,51.94,102.88,7.17,Rabi,Maize
Red,57,61,23,31.87,81.63,175.06,6.93,Zaid,Wheat
Sandy,45,70,44,31.52,59.65,150.29,6.7,Kharif,Sugarcane
Sandy,59,68,58,33.17,41.11,287.23,6.41,Kharif,Soybean
Sandy,80,77,21,34.58,49.42,142.99,7.2,Kharif,Maize
Clay,73,63,64,18.74,54.01,104.51,6.86,Kharif,Sugarcane
Black,98,20,38,18.5,89.96,246.49,7.26,Kharif,Groundnut
Black,57,28,38,28.4,54.77,195.14,6.48,Rabi,Soybean
Sandy,80,79,69,19.48,57.32,236.84,7.21,Rabi,Rice
Loamy,96,76,65,22.86,58.64,235.79,7.32,Kharif,Maize
Red,50,22,58,22.14,83.09,298.36,6.18,Zaid,Maize
Sandy,48,47,56,22.31,48.99,74.37,6.93,Rabi,Rice
Sandy,55,58,32,32.62,87.73,99.05,5.81,Zaid,Sugarcane
Sandy,85,40,69,18.68,76.64,127.44,5.6,Zaid,Wheat
Sandy,82,63,52,26.03,76.15,100.97,6.79,Rabi,Soybean
Red,84,67,64,26.47,58.67,191.94,6.2,Kharif,Cotton
Sandy,89,32,59,28.43,83.2,122.78,6.75,Kharif,Groundnut
Sandy,68,30,51,29.34,58.7,194.75,6.48,Zaid,Maize
Clay,64,33,40,25.34,48.8,260.65,6.94,Kharif,Groundnut
Red,68,59,67,20.12,73.66,61.6,6.67,Zaid,Cotton
Clay,46,63,63,32.18,79.58,225.65,6.57,Kharif,Groundnut
Red,69,20,38,32.63,83.12,75.71,6.07,Kharif,Rice
Red,95,26,39,32.51,76.99,253.52,6.04,Kharif,Sugarcane
Black,73,27,65,18.44,76.07,220.13,5.77,Kharif,Groundnut
Clay,88,66,44,22.4,44.65,176.0,5.88,Kharif,Groundnut
Red,49,70,49,23.52,80.81,223.36,5.86,Zaid,Maize
Loamy,66,39,56,31.3,56.73,229.82,6.27,Kharif,Cotton
Sandy,94,68,22,22.92,89.1,291.52,5.53,Rabi,Groundnut
Loamy,96,79,47,20.63,75.89,137.81,7.46,Kharif,Cotton
Red,95,78,65,19.9,80.26,209.12,5.95,Rabi,Wheat
Sandy,66,39,35,22.76,88.94,292.12,7.09,Kharif,Soybean
Sandy,89,43,38,21.78,77.81,100.1,6.59,Rabi,Wheat
Clay,80,59,64,28.78,87.67,167.6,5.7,Rabi,Maize
Clay,54,38,47,25.22,89.55,243.72,6.42,Rabi,Groundnut
Black,91,37,49,26.87,80.82,219.3,7.21,Kharif,Cotton
Clay,96,78,63,31.24,62.86,87.26,6.86,Zaid,Sugarcane
Loamy,81,63,36,34.86,72.73,62.08,6.63,Rabi,Wheat
Black,90,66,44,34.32,50.72,62.52,6.58,Rabi,Cotton
Red,83,32,51,26.93,45.82,109.53,6.53,Zaid,Groundnut
Red,65,32,66,29.8,78.59,158.09,5.84,Zaid,Maize
Black,70,26,37,20.28,84.49,294.19,7.03,Kharif,Cotton
Black,70,60,65,32.45,48.68,193.5,5.86,Zaid,Sugarcane
Black,63,37,66,25.37,82.77,251.27,5.65,Kharif,Soybean
Sandy,81,59,66,27.29,60.3,203.03,6.87,Zaid,Groundnut
Loamy,81,23,22,30.6,74.35,133.98,6.49,Kharif,Groundnut
Black,76,30,23,28.43,79.03,297.06,7.31,Kharif,Soybean
Loamy,83,34,63,23.01,45.13,248.25,7.3,Kharif,Sugarcane
Sandy,89,64,50,18.87,82.94,287.03,6.27,Zaid,Wheat
Clay,97,56,68,26.83,87.14,67.34,7.0,Kharif,Groundnut
Clay,82,26,51,23.74,50.25,70.24,6.96,Zaid,Wheat
Black,63,70,53,28.67,61.92,112.05,6.42,Kharif,Sugarcane
Clay,52,78,39,23.5,42.42,86.35,6.06,Zaid,Rice
Red,81,53,63,28.24,52.81,184.33,6.13,Kharif,Maize
Sandy,94,44,55,24.77,77.45,87.06,6.56,Kharif,Wheat
Black,57,75,62,29.31,49.07,129.45,7.05,Zaid,Wheat
Red,77,29,25,24.03,61.39,66.89,6.6,Rabi,Groundnut
Clay,57,48,62,34.95,74.92,291.86,6.89,Kharif,Sugarcane
Loamy,63,53,44,27.96,42.0,168.23,6.59,Rabi,Soybean
Black,43,46,61,24.88,61.21,112.37,6.91,Zaid,Maize
Black,95,70,57,34.42,83.09,298.38,6.82,Zaid,Wheat
Black,64,21,56,20.44,47.09,118.9,6.47,Kharif,Groundnut
Sandy,74,61,59,18.47,56.79,232.5,7.45,Zaid,Rice
Red,60,29,28,34.28,84.49,50.84,6.8,Rabi,Rice
Sandy,56,48,27,34.77,89.9,203.46,6.53,Zaid,Cotton
